"","plotID","decimalLatitude","decimalLongitude","elevation.y","nlcdClass.y"
"11723","SJER_035",37.081507,-119.727648,318.7,"evergreenForest"
"11735","SJER_036",37.101331,-119.721285,386.5,"grasslandHerbaceous"
"11747","SJER_037",37.092865,-119.726034,350.5,"grasslandHerbaceous"
"11760","SJER_038",37.096437,-119.73524,339.1,"grasslandHerbaceous"
"11772","SJER_039",37.109009,-119.749511,391.2,"grasslandHerbaceous"
"11785","SJER_040",37.082013,-119.7411,346.6,"grasslandHerbaceous"
"11797","SJER_041",37.085395,-119.723127,316.1,"grasslandHerbaceous"
"11810","SJER_042",37.089955,-119.723575,322.6,"grasslandHerbaceous"
"11822","SJER_043",37.086793,-119.732525,325.5,"grasslandHerbaceous"
"11834","SJER_044",37.114513,-119.745324,430.9,"evergreenForest"
"11846","SRER_032",31.794002,-110.883327,1115.2,"shrubScrub"
"11872","SRER_033",31.772897,-110.857362,1233.6,"shrubScrub"
"11898","SRER_034",31.800204,-110.833873,1235.4,"shrubScrub"
"11937","SRER_035",31.877763,-110.813433,1140.5,"shrubScrub"
"11964","SRER_036",31.843809,-110.879072,1044.2,"shrubScrub"
"12003","SRER_037",31.805422,-110.90327,1052.3,"shrubScrub"
"12029","SRER_038",31.849247,-110.894336,1001.6,"shrubScrub"
"12056","SRER_039",31.887663,-110.868606,965.9,"shrubScrub"
"12095","SRER_040",31.851864,-110.814125,1217.1,"shrubScrub"
"12122","SRER_041",31.900587,-110.833375,1015.9,"shrubScrub"
"12149","STEI_036",45.809573,-90.091058,515.6,"deciduousForest"
"12170","STEI_037",45.785148,-90.046097,519.7,"deciduousForest"
"12191","STEI_038",45.798045,-90.088492,521.8,"deciduousForest"
"12212","STEI_039",45.804898,-90.060639,496.8,"deciduousForest"
"12233","STEI_040",45.828065,-90.083604,495.4,"deciduousForest"
"12254","STEI_041",45.810765,-90.086461,520.3,"deciduousForest"
"12275","STEI_042",45.789225,-90.094942,523.4,"mixedForest"
"12296","STEI_043",45.790536,-90.045616,524.4,"deciduousForest"
"12317","STEI_044",45.794564,-90.046598,523.6,"deciduousForest"
"12338","STEI_045",45.805547,-90.049011,490.2,"woodyWetlands"
"12359","STER_030",40.481542,-103.013138,1365.5,"cultivatedCrops"
"12395","STER_036",40.478542,-103.027012,1361.3,"cultivatedCrops"
"12431","STER_037",40.479029,-103.008241,1363.6,"cultivatedCrops"
"12467","STER_038",40.467352,-103.020986,1357,"cultivatedCrops"
"12503","STER_039",40.467447,-103.026941,1358.5,"cultivatedCrops"
"12539","STER_040",40.471932,-103.008202,1352.4,"cultivatedCrops"
"12575","STER_041",40.476008,-103.024984,1359.1,"cultivatedCrops"
"12611","STER_042",40.481497,-103.025869,1367.4,"cultivatedCrops"
"12647","STER_043",40.473397,-103.026824,1365.7,"cultivatedCrops"
"12683","STER_044",40.466797,-103.036213,1363,"cultivatedCrops"
"12719","TALL_028",32.923034,-87.413517,179.3,"evergreenForest"
"12811","TALL_033",32.97357,-87.408875,77.1,"mixedForest"
"12904","TALL_034",32.948435,-87.428416,149.7,"deciduousForest"
"12997","TALL_035",32.896817,-87.412758,125.7,"evergreenForest"
"13089","TALL_036",32.907758,-87.450338,127,"mixedForest"
"13184","TALL_037",32.90911,-87.442949,102.3,"mixedForest"
"13277","TALL_038",32.914334,-87.413474,135.9,"evergreenForest"
"13369","TALL_039",32.916037,-87.406101,145.8,"evergreenForest"
"13461","TALL_040",32.89975,-87.425914,91.8,"deciduousForest"
"13553","TALL_041",32.881294,-87.438992,86.1,"deciduousForest"
"13645","TREE_029",45.494187,-89.558663,466.4,"deciduousForest"
"13666","TREE_030",45.490278,-89.551149,466.8,"mixedForest"
"13685","TREE_031",45.485606,-89.55559,452.7,"woodyWetlands"
"13706","TREE_032",45.488547,-89.556879,452.4,"woodyWetlands"
"13727","TREE_033",45.499533,-89.562247,459,"evergreenForest"
"13748","TREE_034",45.49404,-89.564792,458,"woodyWetlands"
"13769","TREE_035",45.489707,-89.578036,459.3,"deciduousForest"
"13790","TREE_036",45.495136,-89.551431,454.4,"mixedForest"
"13811","TREE_037",45.493954,-89.56901,459.5,"mixedForest"
"13832","TREE_038",45.49649,-89.562691,464.1,"evergreenForest"
"13853","UKFS_033",39.049961,-95.186535,323.4,"deciduousForest"
"13881","UKFS_034",39.039113,-95.206699,279.3,"deciduousForest"
"13908","UKFS_035",39.04627,-95.196147,318.8,"deciduousForest"
